datetime,bank,defense,food
2011/7/1,2155.25,1169.4,5743.26
2011/7/4,2212.7,1190.84,5826.15
2011/7/5,2201.84,1202.82,5830.56
2011/7/6,2177.34,1205.01,5887.46
2011/7/7,2174.97,1191.94,5951.75
2011/7/8,2201.67,1211.32,5938.81
2011/7/11,2187.94,1222.85,6040.24
2011/7/12,2153.33,1199.54,5991.84
2011/7/13,2186.36,1210.98,6070.79
2011/7/14,2188.63,1216.67,6034.77
2011/7/15,2197.37,1227.65,6064.35
2011/7/18,2187.44,1249.25,6126.41
2011/7/19,2162.3,1243.36,6091.95
2011/7/20,2160.33,1244.68,6155.82
2011/7/21,2142.47,1226.89,6211.31
2011/7/22,2136,1232.83,6256.16
2011/7/25,2081.25,1211.27,6115.07
2011/7/26,2085.14,1228.62,6097.87
2011/7/27,2079.67,1251.96,6180.73
2011/7/28,2046.98,1226.6,6215.14
2011/7/29,2093.68,1188.53,6180.99
2011/8/1,2077.62,1182.71,6129.1
2011/8/2,2062.22,1171.32,6082.11
2011/8/3,2060.71,1169.64,6148.25
2011/8/4,2058.46,1182.64,6216.3
2011/8/5,2011.41,1162.41,6147.35
2011/8/8,1959.4,1103,6002.54
2011/8/9,1976.83,1118.07,6035.48
2011/8/10,1985.62,1127.57,6184.89
2011/8/11,2017.72,1133.91,6396.16
2011/8/12,2016.31,1138.36,6436.78
2011/8/15,2074.46,1147.95,6413.12
2011/8/16,2071.06,1126.81,6363.9
2011/8/17,2069.98,1120.91,6358.42
2011/8/18,2037.69,1109.73,6285.14
2011/8/19,2022.67,1102.87,6308.62
2011/8/22,2009.8,1086.92,6149.49
2011/8/23,2050.81,1098.24,6189.93
2011/8/24,2037.42,1102.1,6230.92
2011/8/25,2128.6,1125.13,6293.57
2011/8/26,2122.59,1126.99,6329.6
2011/8/29,2062.49,1112.83,6375.83
2011/8/30,2068.24,1092.81,6324.4
2011/8/31,2082.84,1081.79,6337.15
2011/9/1,2090.52,1079.07,6240.87
2011/9/2,2066.42,1063.14,6195.29
2011/9/5,2039.95,1036.21,6104.59
2011/9/6,2036.38,1023,5998.94
2011/9/7,2075.79,1038.26,6127.27
2011/9/8,2065.7,1022.75,6071.98
2011/9/9,2067.53,1024.41,6024.38
2011/9/13,2053.33,998.44,5935.71
2011/9/14,2049.02,1013.59,5925.66
2011/9/15,2032.24,1014.54,5942.44
2011/9/16,2046.15,1015.42,5979.85
2011/9/19,2007.28,995.57,5922.51
2011/9/20,2019.89,1008.76,5905.01
2011/9/21,2063.17,1035.6,6019.4
2011/9/22,2008.83,1006.13,5869.31
2011/9/23,1999.53,1002.71,5755.4
2011/9/26,1949.73,983.74,5623.94
2011/9/27,1968.52,989.38,5642
2011/9/28,1951.92,978.19,5569.85
2011/9/29,1956.57,939.1,5508.1
2011/9/30,1956.69,920.77,5558.37
2011/10/10,1935.92,902.06,5500.36
2011/10/11,1967.09,896.93,5444.41
2011/10/12,2033.23,924.89,5594.55
2011/10/13,2036.23,937.95,5655.65
2011/10/14,2039.21,930.06,5614.86
2011/10/17,2055.53,943.14,5715.46
2011/10/18,2023,934.35,5648.32
2011/10/19,2030.5,925.47,5654.45
2011/10/20,2003.29,878.75,5502.5
2011/10/21,2026.59,860.74,5500.22
2011/10/24,2079.67,880.64,5636.68
2011/10/25,2095.15,902.06,5718.71
2011/10/26,2094.61,911.26,5765.26
2011/10/27,2113.45,914.1,5765.95
2011/10/28,2135.39,935.16,5857.46
2011/10/31,2112.87,943.8,5845.27
2011/11/1,2113.43,940.01,5895.57
2011/11/2,2149.26,948.91,5979.06
2011/11/3,2127.62,954.67,5969.27
2011/11/4,2138.93,974.57,5983.85
2011/11/7,2110.46,975.35,5960.88
2011/11/8,2116.57,962.41,5937.59
2011/11/9,2131.33,977.47,6012.38
2011/11/10,2088.73,967.87,5958.2
2011/11/11,2089.37,960.18,5943.51
2011/11/14,2116.75,983.96,6038.43
2011/11/15,2099.76,992.93,5995.43
2011/11/16,2050.97,970.32,5893.8
2011/11/17,2046.73,977.02,5914.01
2011/11/18,2030.53,952.26,5827.2
2011/11/21,2024.96,942.43,5856.21
2011/11/22,2031.24,935.99,5964.86
2011/11/23,2015.74,933.72,6021.73
2011/11/24,2025.97,925.48,6053.12
2011/11/25,2009.91,915.04,6105.62
2011/11/28,2010.46,911.67,6145.57
2011/11/29,2031.86,947.93,6144.14
2011/11/30,1985.62,902.83,6028.65
2011/12/1,2041.1,919.62,6081.56
2011/12/2,2044.32,901.18,6046.63
2011/12/5,2055.28,873.77,5877.91
2011/12/6,2042.04,873.44,5819.91
2011/12/7,2053.44,887.94,5842.5
2011/12/8,2055.16,883.48,5795.47
2011/12/9,2043.75,870.84,5671.48
2011/12/12,2040.46,862.4,5602.79
2011/12/13,2013.47,819.73,5491.45
2011/12/14,2009.44,800.42,5430.32
2011/12/15,1980.96,769.24,5373.7
2011/12/16,2015.64,787.16,5453.57
2011/12/19,2019.2,809.82,5415.9
2011/12/20,2015.35,796.86,5408.27
2011/12/21,2007,775.37,5332.57
2011/12/22,2019.02,770.19,5317.99
2011/12/23,2018.89,775.52,5329.22
2011/12/26,2006.29,766.52,5199.41
2011/12/27,2000.24,753.83,5034.66
2011/12/28,1993.42,748.79,5028.04
2011/12/29,1994.86,751.68,5086.34
2011/12/30,2021.55,760.65,5165.66
2012/1/4,2003.33,749.85,4967.09
2012/1/5,2041.07,721.34,4878.25
2012/1/6,2054.25,714.82,4922.14
2012/1/9,2097.7,739.73,5007.18
