distribution=std,"quantiles=[.005, .1, .25, .5, .75, .975]",,"w=[1/3,1/3,1/3]","money=[4000.00,4000.00,4000.00]",,,,,,,,取相同的时间跨度,,,,,,,减去各自的初值,,,,,
datetime,freq=1 back=2,datetime,freq=1 back=3,datetime,freq=1 back=4,datetime,freq=1 back=5,datetime,freq=1 back=6,,,datetime,freq=1 back=2,freq=1 back=3,freq=1 back=4,freq=1 back=5,freq=1 back=6,,datetime,freq=1 back=2,freq=1 back=3,freq=1 back=4,freq=1 back=5,freq=1 back=6
2011/9/1,12000,2011/10/10,12000,2011/11/1,12000,2011/12/1,12000,2012/1/4,12000,,,2012/1/4,10362.62664,10977.81487,10578.08364,10559.65821,12000,,2012/1/4,0,0,0,0,0
2011/9/2,11877.45309,2011/10/11,11959.44521,2011/11/2,12163.81861,2011/12/2,11908.50941,2012/1/5,11839.65944,,,2012/1/5,10161.26395,10827.89651,10439.97699,10445.29969,11839.65944,,2012/1/5,-201.36269,-149.91836,-138.10665,-114.35852,-160.34056
2011/9/5,11670.41892,2011/10/12,12316.76231,2011/11/3,12141.54801,2011/12/5,11671.7525,2012/1/6,11885.50788,,,2012/1/6,10170.34484,10855.00068,10483.8063,10470.76773,11885.50788,,2012/1/6,-192.2818,-122.81419,-94.27734,-88.89048,-114.49212
2011/9/6,11515.29365,2011/10/13,12437.13675,2011/11/4,12239.94526,2011/12/6,11595.80728,2012/1/9,12154.05877,,,2012/1/9,10428.50394,11115.17895,10717.35747,10723.52848,12154.05877,,2012/1/9,65.8773,137.36408,139.27383,163.87027,154.05877
2011/9/7,11735.9984,2011/10/14,12366.36418,2011/11/7,12177.93057,2011/12/7,11684.31792,2012/1/10,12509.91474,,,2012/1/10,10762.9665,11436.32531,11030.45563,11012.96562,12509.91474,,2012/1/10,400.33986,458.51044,452.37199,453.30741,509.91474
2011/9/8,11618.73866,2011/10/17,12548.20611,2011/11/8,12120.90426,2011/12/8,11627.23695,2012/1/11,12466.24226,,,2012/1/11,10742.68316,11402.86067,10990.28448,10978.85953,12466.24226,,2012/1/11,380.05652,425.0458,412.20084,419.20132,466.24226
2011/9/9,11576.97704,2011/10/18,12398.32736,2011/11/9,12265.70667,2011/12/9,11449.49026,2012/1/12,12467.94886,,,2012/1/12,10752.38208,11416.19575,10989.78805,11000.68575,12467.94886,,2012/1/12,389.75544,438.38088,411.70441,441.02754,467.94886
2011/9/13,11387.33308,2011/10/19,12382.03103,2011/11/10,12117.43139,2011/12/12,11350.6787,2012/1/13,12235.99747,,,2012/1/13,10502.08651,11191.54869,10789.26587,10797.08742,12235.99747,,2012/1/13,139.45987,213.73382,211.18223,237.42921,235.99747
2011/9/14,11421.90498,2011/10/20,12004.03968,2011/11/11,12078.24606,2011/12/13,11057.87019,2012/1/16,11827.40245,,,2012/1/16,10145.42752,10845.46939,10425.40344,10497.72338,11827.40245,,2012/1/16,-217.19912,-132.34548,-152.6802,-61.93483,-172.59755
2011/9/15,11425.58864,2011/10/21,11965.18544,2011/11/14,12290.80778,2011/12/14,10927.66463,2012/1/17,12264.41962,,,2012/1/17,10576.53069,11263.06769,10805.78356,10891.02419,12264.41962,,2012/1/17,213.90405,285.25282,227.69992,331.36598,264.41962
2011/9/16,11480.74511,2011/10/24,12260.30772,2011/11/15,12254.59482,2011/12/15,10723.72529,2012/1/18,11988.00685,,,2012/1/18,10351.96077,11027.19755,10559.13558,10675.92927,11988.00685,,2012/1/18,-10.66587,49.38268,-18.94806,116.27106,-11.99315
2011/9/19,11318.70464,2011/10/25,12451.30256,2011/11/16,12007.48995,2011/12/16,10913.38746,2012/1/19,12137.47146,,,2012/1/19,10457.82853,11155.11074,10693.14295,10801.31245,12137.47146,,2012/1/19,95.20189,177.29587,115.05931,241.65424,137.47146
2011/9/20,11356.05081,2011/10/26,12536.53601,2011/11/17,12043.20787,2011/12/19,10961.23631,2012/1/20,12381.99375,,,2012/1/20,10641.64374,11363.29027,10912.05818,10998.50195,12381.99375,,2012/1/20,279.0171,385.4754,333.97454,438.84374,381.99375
2011/9/21,11603.85724,2011/10/27,12572.47044,2011/11/18,11851.84274,2011/12/20,10903.60227,2012/1/30,12238.85245,,,2012/1/30,10538.58764,11235.39032,10784.54438,10867.98305,12238.85245,,2012/1/30,175.961,257.57545,206.46074,308.32484,238.85245
2011/9/22,11299.80159,2011/10/28,12781.13173,2011/11/21,11837.93435,2011/12/21,10745.59332,2012/1/31,12333.53137,,,2012/1/31,10620.61098,11316.15401,10868.80609,10938.88007,12333.53137,,2012/1/31,257.98434,338.33914,290.72245,379.22186,333.53137
2011/9/23,11162.27602,2011/10/31,12770.15123,2011/11/22,11929.53409,2011/12/22,10732.28453,2012/2/1,12333.53137,,,2012/2/1,10620.61098,11316.15401,10868.80609,10938.88007,12333.53137,,2012/2/1,257.98434,338.33914,290.72245,379.22186,333.53137
2011/9/26,10915.98732,2011/11/1,12770.15123,2011/11/23,11953.05734,2011/12/23,10761.01506,2012/2/2,12611.52427,,,2012/2/2,10903.08459,11566.51429,11120.87645,11153.43906,12611.52427,,2012/2/2,540.45795,588.69942,542.79281,593.78085,611.52427
2011/9/27,10971.53884,2011/11/2,12949.59718,2011/11/24,11970.49885,2011/12/26,10588.49572,2012/2/3,12742.78458,,,2012/2/3,10991.60582,11668.26754,11237.14758,11260.7249,12742.78458,,2012/2/3,628.97918,690.45267,659.06394,701.06669,742.78458
2011/9/28,10844.49621,2011/11/3,12908.68536,2011/11/25,11961.29155,2011/12/27,10380.28383,2012/2/6,12750.02864,,,2012/2/6,10981.69776,11693.57105,11237.20822,11300.76642,12750.02864,,2012/2/6,619.07112,715.75618,659.12458,741.10821,750.02864
