freq=1,back=6,"quantiles=[.005, .1, .25, .5, .75, .975]",,"w=[1/3,1/3,1/3]","money=[4000.00,4000.00,4000.00]",,,,ºı»•≥ı÷µ12000,,,,,
datetime,std,sstd,ged,sged,norm,,,,datetime,std,sstd,ged,sged,norm
2012/1/4,12000,12000,12000,12000,12000,,,,2012/1/4,0,0,0,0,0
2012/1/5,11839.65944,11839.34741,11840.53288,11838.05295,11842.36798,,,,2012/1/5,-160.34056,-160.65259,-159.46712,-161.94705,-157.63202
2012/1/6,11885.50788,11884.32233,11886.98605,11883.72778,11882.43664,,,,2012/1/6,-114.49212,-115.67767,-113.01395,-116.27222,-117.56336
2012/1/9,12154.05877,12153.71926,12154.99296,12152.34879,12156.88847,,,,2012/1/9,154.05877,153.71926,154.99296,152.34879,156.88847
2012/1/10,12509.91474,12509.39463,12510.55081,12509.16298,12508.47711,,,,2012/1/10,509.91474,509.39463,510.55081,509.16298,508.47711
2012/1/11,12466.24226,12466.11289,12466.56,12465.68047,12467.04301,,,,2012/1/11,466.24226,466.11289,466.56,465.68047,467.04301
2012/1/12,12467.94886,12468.47805,12467.99753,12467.07905,12474.4635,,,,2012/1/12,467.94886,468.47805,467.99753,467.07905,474.4635
2012/1/13,12235.99747,12235.74085,12236.87518,12234.30187,12239.38206,,,,2012/1/13,235.99747,235.74085,236.87518,234.30187,239.38206
2012/1/16,11827.40245,11828.64571,11827.95239,11824.33558,11845.87041,,,,2012/1/16,-172.59755,-171.35429,-172.04761,-175.66442,-154.12959
2012/1/17,12264.41962,12266.7481,12264.01841,12262.03801,12288.61687,,,,2012/1/17,264.41962,266.7481,264.01841,262.03801,288.61687
2012/1/18,11988.00685,11991.29091,11987.18748,11985.24339,12020.29392,,,,2012/1/18,-11.99315,-8.70909,-12.81252,-14.75661,20.29392
2012/1/19,12137.47146,12140.22538,12137.07832,12134.46348,12166.6808,,,,2012/1/19,137.47146,140.22538,137.07832,134.46348,166.6808
2012/1/20,12381.99375,12383.84426,12382.17278,12378.93136,12404.83881,,,,2012/1/20,381.99375,383.84426,382.17278,378.93136,404.83881
2012/1/30,12238.85245,12240.91328,12238.7189,12236.22414,12261.87676,,,,2012/1/30,238.85245,240.91328,238.7189,236.22414,261.87676
2012/1/31,12333.53137,12335.27437,12333.47417,12331.17743,12353.40956,,,,2012/1/31,333.53137,335.27437,333.47417,331.17743,353.40956
2012/2/1,12333.53137,12335.27437,12333.47417,12331.17743,12353.40956,,,,2012/2/1,333.53137,335.27437,333.47417,331.17743,353.40956
2012/2/2,12611.52427,12612.99628,12600.6669,12609.08371,12610.40136,,,,2012/2/2,611.52427,612.99628,600.6669,609.08371,610.40136
2012/2/3,12742.78458,12743.81983,12736.84239,12739.8471,12740.55452,,,,2012/2/3,742.78458,743.81983,736.84239,739.8471,740.55452
2012/2/6,12750.02864,12751.68106,12749.10341,12747.4908,12766.54394,,,,2012/2/6,750.02864,751.68106,749.10341,747.4908,766.54394
2012/2/7,12594.18693,12595.63548,12597.39322,12591.44626,12613.07245,,,,2012/2/7,594.18693,595.63548,597.39322,591.44626,613.07245
2012/2/8,12885.26165,12886.50954,12890.61429,12882.22425,12903.24365,,,,2012/2/8,885.26165,886.50954,890.61429,882.22425,903.24365
2012/2/9,12888.92973,12890.22629,12899.32612,12885.82829,12915.13815,,,,2012/2/9,888.92973,890.22629,899.32612,885.82829,915.13815
2012/2/10,12852.26263,12853.6628,12869.47239,12849.11834,12890.32891,,,,2012/2/10,852.26263,853.6628,869.47239,849.11834,890.32891
2012/2/13,12862.5236,12864.02899,12894.98656,12859.15162,12924.6891,,,,2012/2/13,862.5236,864.02899,894.98656,859.15162,924.6891
2012/2/14,12835.9452,12837.38614,12871.57708,12832.46423,12901.54275,,,,2012/2/14,835.9452,837.38614,871.57708,832.46423,901.54275
2012/2/15,12963.53203,12964.41548,13011.4948,12959.30572,13036.55413,,,,2012/2/15,963.53203,964.41548,1011.4948,959.30572,1036.55413
2012/2/16,12893.43018,12894.22097,12937.08911,12889.23728,12958.55033,,,,2012/2/16,893.43018,894.22097,937.08911,889.23728,958.55033
2012/2/17,12935.03413,12935.7353,12976.94325,12930.79092,12995.90586,,,,2012/2/17,935.03413,935.7353,976.94325,930.79092,995.90586
2012/2/20,12959.17221,12959.55876,13002.68323,12954.63208,13016.50132,,,,2012/2/20,959.17221,959.55876,1002.68323,954.63208,1016.50132
2012/2/21,13057.46911,13057.9978,13106.41519,13052.9043,13125.23412,,,,2012/2/21,1057.46911,1057.9978,1106.41519,1052.9043,1125.23412
2012/2/22,13144.46596,13144.83576,13201.77057,13139.57461,13221.33184,,,,2012/2/22,1144.46596,1144.83576,1201.77057,1139.57461,1221.33184
2012/2/23,13174.54609,13175.09045,13237.16927,13169.67982,13262.34977,,,,2012/2/23,1174.54609,1175.09045,1237.16927,1169.67982,1262.34977
2012/2/24,13344.64074,13345.04794,13409.8037,13339.55866,13433.41387,,,,2012/2/24,1344.64074,1345.04794,1409.8037,1339.55866,1433.41387
2012/2/27,13330.28353,13330.84547,13396.41709,13325.31245,13423.35573,,,,2012/2/27,1330.28353,1330.84547,1396.41709,1325.31245,1423.35573
2012/2/28,13391.29759,13392.35917,13447.34844,13386.92106,13478.94583,,,,2012/2/28,1391.29759,1392.35917,1447.34844,1386.92106,1478.94583
2012/2/29,13329.16187,13330.79895,13385.70473,13325.26433,13428.27907,,,,2012/2/29,1329.16187,1330.79895,1385.70473,1325.26433,1428.27907
2012/3/1,13329.16187,13330.79895,13385.70473,13325.26433,13428.27907,,,,2012/3/1,1329.16187,1330.79895,1385.70473,1325.26433,1428.27907
2012/3/2,13489.48731,13491.10417,13542.38657,13485.61685,13594.09038,,,,2012/3/2,1489.48731,1491.10417,1542.38657,1485.61685,1594.09038
2012/3/5,13473.04131,13473.18172,13515.97317,13469.02233,13568.34141,,,,2012/3/5,1473.04131,1473.18172,1515.97317,1469.02233,1568.34141
2012/3/6,13379.47046,13378.3873,13412.49782,13375.37919,13468.06328,,,,2012/3/6,1379.47046,1378.3873,1412.49782,1375.37919,1468.06328
