distribution=std,"quantiles=[.005, .1, .25, .5, .75, .975]",,"w=[1/3,1/3,1/3]","money=[4000.00,4000.00,4000.00]",,,,ºı»•≥ı÷µ12000,,,,
datetime,freq=1 back=6,freq=2 back=3,freq=3 back=2,freq=6 back=1,,,,datetime,freq=1 back=6,freq=2 back=3,freq=3 back=2,freq=6 back=1
2012/1/4,12000,12000,12000,12000,,,,2012/1/4,0,0,0,0
2012/1/5,11839.65944,11835.54877,11837.50049,11892.46951,,,,2012/1/5,-160.34056,-164.45123,-162.49951,-107.53049
2012/1/6,11885.50788,11879.11436,11880.4978,11939.6867,,,,2012/1/6,-114.49212,-120.88564,-119.5022,-60.3133
2012/1/9,12154.05877,12149.66714,12151.73775,12210.23273,,,,2012/1/9,154.05877,149.66714,151.73775,210.23273
2012/1/10,12509.91474,12507.1721,12507.73831,12532.69471,,,,2012/1/10,509.91474,507.1721,507.73831,532.69471
2012/1/11,12466.24226,12464.76042,12465.42415,12484.60534,,,,2012/1/11,466.24226,464.76042,465.42415,484.60534
2012/1/12,12467.94886,12467.25164,12468.95614,12500.1488,,,,2012/1/12,467.94886,467.25164,468.95614,500.1488
2012/1/13,12235.99747,12231.81796,12233.94543,12292.11278,,,,2012/1/13,235.99747,231.81796,233.94543,292.11278
2012/1/16,11827.40245,11823.58105,11829.01326,11937.7196,,,,2012/1/16,-172.59755,-176.41895,-170.98674,-62.2804
2012/1/17,12264.41962,12264.43617,12269.91927,12357.12894,,,,2012/1/17,264.41962,264.43617,269.91927,357.12894
2012/1/18,11988.00685,11989.30081,11996.20327,12098.58846,,,,2012/1/18,-11.99315,-10.69919,-3.79673,98.58846
2012/1/19,12137.47146,12137.08305,12143.83476,12253.59771,,,,2012/1/19,137.47146,137.08305,143.83476,253.59771
2012/1/20,12381.99375,12379.51136,12385.50076,12495.29651,,,,2012/1/20,381.99375,379.51136,385.50076,495.29651
2012/1/30,12238.85245,12237.75665,12243.33559,12338.53667,,,,2012/1/30,238.85245,237.75665,243.33559,338.53667
2012/1/31,12333.53137,12332.32511,12337.22638,12422.27894,,,,2012/1/31,333.53137,332.32511,337.22638,422.27894
2012/2/1,12333.53137,12239.85557,12243.25936,12314.43766,,,,2012/2/1,333.53137,239.85557,243.25936,314.43766
2012/2/2,12611.52427,12446.68689,12451.90498,12548.98884,,,,2012/2/2,611.52427,446.68689,451.90498,548.98884
2012/2/3,12742.78458,12571.9553,12577.67118,12671.23042,,,,2012/2/3,742.78458,571.9553,577.67118,671.23042
2012/2/6,12750.02864,12640.04593,12643.96553,12720.9121,,,,2012/2/6,750.02864,640.04593,643.96553,720.9121
2012/2/7,12594.18693,12493.44906,12497.29202,12567.45924,,,,2012/2/7,594.18693,493.44906,497.29202,567.45924
2012/2/8,12885.26165,12777.51267,12781.72764,12852.19111,,,,2012/2/8,885.26165,777.51267,781.72764,852.19111
2012/2/9,12888.92973,12807.49515,12811.10273,12871.33688,,,,2012/2/9,888.92973,807.49515,811.10273,871.33688
2012/2/10,12852.26263,12809.36091,12812.04471,12857.72362,,,,2012/2/10,852.26263,809.36091,812.04471,857.72362
2012/2/13,12862.5236,12896.65173,12897.58634,12912.80088,,,,2012/2/13,862.5236,896.65173,897.58634,912.80088
2012/2/14,12835.9452,12881.27102,12882.00703,12891.66196,,,,2012/2/14,835.9452,881.27102,882.00703,891.66196
2012/2/15,12963.53203,13029.9597,13030.69906,13023.90822,,,,2012/2/15,963.53203,1029.9597,1030.69906,1023.90822
2012/2/16,12893.43018,12935.36707,12936.69373,12938.71916,,,,2012/2/16,893.43018,935.36707,936.69373,938.71916
2012/2/17,12935.03413,12962.7056,12964.42024,12971.1371,,,,2012/2/17,935.03413,962.7056,964.42024,971.1371
2012/2/20,12959.17221,12974.67299,12976.90092,12984.28975,,,,2012/2/20,959.17221,974.67299,976.90092,984.28975
2012/2/21,13057.46911,13105.27395,13106.71304,13102.75472,,,,2012/2/21,1057.46911,1105.27395,1106.71304,1102.75472
2012/2/22,13144.46596,13219.93963,13220.92145,13203.33001,,,,2012/2/22,1144.46596,1219.93963,1220.92145,1203.33001
2012/2/23,13174.54609,13284.86871,13284.96629,13255.38062,,,,2012/2/23,1174.54609,1284.86871,1284.96629,1255.38062
2012/2/24,13344.64074,13455.6155,13455.84296,13424.18352,,,,2012/2/24,1344.64074,1455.6155,1455.84296,1424.18352
2012/2/27,13330.28353,13455.44358,13455.2403,13419.84907,,,,2012/2/27,1330.28353,1455.44358,1455.2403,1419.84907
2012/2/28,13391.29759,13499.19776,13498.99442,13477.77118,,,,2012/2/28,1391.29759,1499.19776,1498.99442,1477.77118
2012/2/29,13329.16187,13475.49441,13473.99767,13444.82909,,,,2012/2/29,1329.16187,1475.49441,1473.99767,1444.82909
2012/3/1,13329.16187,13475.49441,13500.90697,13468.08059,,,,2012/3/1,1329.16187,1475.49441,1500.90697,1468.08059
2012/3/2,13489.48731,13623.09072,13640.91757,13605.75864,,,,2012/3/2,1489.48731,1623.09072,1640.91757,1605.75864
2012/3/5,13473.04131,13572.79392,13629.48977,13577.43127,,,,2012/3/5,1473.04131,1572.79392,1629.48977,1577.43127
2012/3/6,13379.47046,13445.92672,13531.39862,13465.14479,,,,2012/3/6,1379.47046,1445.92672,1531.39862,1465.14479
2012/3/7,13382.50328,13403.30291,13524.57746,13439.02055,,,,2012/3/7,1382.50328,1403.30291,1524.57746,1439.02055
2012/3/8,13465.20636,13484.42452,13618.97932,13529.73982,,,,2012/3/8,1465.20636,1484.42452,1618.97932,1529.73982
2012/3/9,13644.27619,13622.02871,13856.65014,13734.35242,,,,2012/3/9,1644.27619,1622.02871,1856.65014,1734.35242
2012/3/12,13662.73135,13599.9792,13889.4389,13744.9263,,,,2012/3/12,1662.73135,1599.9792,1889.4389,1744.9263
2012/3/13,13789.38049,13728.86563,14039.17331,13890.08473,,,,2012/3/13,1789.38049,1728.86563,2039.17331,1890.08473
2012/3/14,13394.33883,13400.6599,13650.79768,13533.53358,,,,2012/3/14,1394.33883,1400.6599,1650.79768,1533.53358
2012/3/15,13307.66573,13319.73796,13614.13455,13489.12068,,,,2012/3/15,1307.66573,1319.73796,1614.13455,1489.12068
2012/3/16,13560.237,13516.7467,13950.07825,13779.65305,,,,2012/3/16,1560.237,1516.7467,1950.07825,1779.65305
2012/3/19,13535.94648,13480.79812,13903.98476,13732.94218,,,,2012/3/19,1535.94648,1480.79812,1903.98476,1732.94218
2012/3/20,13293.86535,13260.9,13665.19447,13505.0146,,,,2012/3/20,1293.86535,1260.9,1665.19447,1505.0146
2012/3/21,13262.44949,13233.41715,13606.7354,13454.42901,,,,2012/3/21,1262.44949,1233.41715,1606.7354,1454.42901
2012/3/22,13294.52494,13280.9652,13623.09935,13481.31472,,,,2012/3/22,1294.52494,1280.9652,1623.09935,1481.31472
2012/3/23,13171.68338,13180.66112,13521.68778,13386.41657,,,,2012/3/23,1171.68338,1180.66112,1521.68778,1386.41657
