distribution=std,,freq=1,back=6,"w=[1/3,1/3,1/3]","money=[4000.00,4000.00,4000.00]",,,,ºı»•≥ı÷µ12000,,,
datetime,"quantiles=[.005, .1, .25, .5, .75, .975]","quantiles = [.01, .1, .4, .5, .6, .75, .9]","quantiles = [.1, .3, .5, .7, .9]",,,,,,datetime,"quantiles=[.005, .1, .25, .5, .75, .975]","quantiles = [.01, .1, .4, .5, .6, .75, .9]","quantiles = [.1, .3, .5, .7, .9]"
2012/1/4,12000,12000,12000,,,,,,2012/1/4,0,0,0
2012/1/5,11839.65944,11844.61264,11804.77303,,,,,,2012/1/5,-160.34056,-155.38736,-195.22697
2012/1/6,11885.50788,11899.23969,11864.28979,,,,,,2012/1/6,-114.49212,-100.76031,-135.71021
2012/1/9,12154.05877,12159.40344,12117.07814,,,,,,2012/1/9,154.05877,159.40344,117.07814
2012/1/10,12509.91474,12515.90474,12501.35786,,,,,,2012/1/10,509.91474,515.90474,501.35786
2012/1/11,12466.24226,12468.17315,12454.46295,,,,,,2012/1/11,466.24226,468.17315,454.46295
2012/1/12,12467.94886,12463.77794,12434.56323,,,,,,2012/1/12,467.94886,463.77794,434.56323
2012/1/13,12235.99747,12240.51169,12197.66584,,,,,,2012/1/13,235.99747,240.51169,197.66584
2012/1/16,11827.40245,11818.80759,11722.61667,,,,,,2012/1/16,-172.59755,-181.19241,-277.38333
2012/1/17,12264.41962,12244.36617,12154.74417,,,,,,2012/1/17,264.41962,244.36617,154.74417
2012/1/18,11988.00685,11959.02287,11848.65627,,,,,,2012/1/18,-11.99315,-40.97713,-151.34373
2012/1/19,12137.47146,12113.97898,12002.8332,,,,,,2012/1/19,137.47146,113.97898,2.8332
2012/1/20,12381.99375,12367.43304,12264.71363,,,,,,2012/1/20,381.99375,367.43304,264.71363
2012/1/30,12238.85245,12221.71656,12128.38232,,,,,,2012/1/30,238.85245,221.71656,128.38232
2012/1/31,12333.53137,12319.19237,12236.72582,,,,,,2012/1/31,333.53137,319.19237,236.72582
2012/2/1,12333.53137,12319.19237,12236.72582,,,,,,2012/2/1,333.53137,319.19237,236.72582
2012/2/2,12611.52427,12597.16397,12541.92921,,,,,,2012/2/2,611.52427,597.16397,541.92921
2012/2/3,12742.78458,12731.884,12666.80502,,,,,,2012/2/3,742.78458,731.884,666.80502
2012/2/6,12750.02864,12736.01252,12653.98699,,,,,,2012/2/6,750.02864,736.01252,653.98699
2012/2/7,12594.18693,12582.12562,12492.1685,,,,,,2012/2/7,594.18693,582.12562,492.1685
2012/2/8,12885.26165,12874.70965,12779.19612,,,,,,2012/2/8,885.26165,874.70965,779.19612
2012/2/9,12888.92973,12878.84067,12770.409,,,,,,2012/2/9,888.92973,878.84067,770.409
