等权重,,,,,取相同的时间跨度，和调仓的结果对比,,,,,,减去各自的初值,,,,
datetime,"w1,w2,w3=0.1,0.6,0.3","w1,w2,w3=1/3,1/3,1/3",,,datetime,"w1,w2,w3=0.1,0.6,0.3","w1,w2,w3=1/3,1/3,1/3",freq=1 back=6,freq=2 back=3,,datetime,"w1,w2,w3=0.1,0.6,0.3","w1,w2,w3=1/3,1/3,1/3",freq=1 back=6,freq=2 back=3
2011/7/1,12000,12000,,,2012/1/4,12206.71685,12304.43555,12000,12000,,2012/1/4,0,0,0,0
2011/7/4,11684.467,11851.72789,,,2012/1/5,12159.8292,12316.24617,11839.65944,11835.54877,,2012/1/5,-46.88765,11.81062,-160.34056,-164.45123
2011/7/5,11661.56751,11878.60842,,,2012/1/6,11810.59235,12054.45257,11885.50788,11879.11436,,2012/1/6,-396.1245,-249.98298,-114.49212,-120.88564
2011/7/6,11988.41249,12166.72664,,,2012/1/9,11742.9277,11999.13281,12154.05877,12149.66714,,2012/1/9,-463.78915,-305.30274,154.05877,149.66714
2011/7/7,12414.1383,12506.53161,,,2012/1/10,11779.8016,11986.65374,12509.91474,12507.1721,,2012/1/10,-426.91525,-317.78181,509.91474,507.1721
2011/7/8,12410.7182,12469.9738,,,2012/1/11,11845.87071,12024.04315,12466.24226,12464.76042,,2012/1/11,-360.84614,-280.3924,466.24226,464.76042
2011/7/11,12427.13032,12491.33563,,,2012/1/12,11724.09976,11902.83308,12467.94886,12467.25164,,2012/1/12,-482.61709,-401.60247,467.94886,467.25164
2011/7/12,12076.69631,12250.4907,,,2012/1/13,11571.20816,11730.89611,12235.99747,12231.81796,,2012/1/13,-635.50869,-573.53944,235.99747,231.81796
2011/7/13,11644.94706,11894.83256,,,2012/1/16,11694.56234,11813.47969,11827.40245,11823.58105,,2012/1/16,-512.15451,-490.95586,-172.59755,-176.41895
2011/7/14,12207.09017,12349.68518,,,2012/1/17,11688.33419,11808.90096,12264.41962,12264.43617,,2012/1/17,-518.38266,-495.53459,264.41962,264.43617
2011/7/15,11957.5221,12100.99848,,,2012/1/18,11573.89543,11715.96668,11988.00685,11989.30081,,2012/1/18,-632.82142,-588.46887,-11.99315,-10.69919
2011/7/18,12053.49361,12240.64916,,,2012/1/19,11560.95038,11743.82981,12137.47146,12137.08305,,2012/1/19,-645.76647,-560.60574,137.47146,137.08305
2011/7/19,12237.49957,12464.02774,,,2012/1/20,11439.62053,11687.232,12381.99375,12379.51136,,2012/1/20,-767.09632,-617.20355,381.99375,379.51136
2011/7/20,12144.09027,12320.6671,,,2012/1/30,11151.98406,11528.31927,12238.85245,12237.75665,,2012/1/30,-1054.73279,-776.11628,238.85245,237.75665
2011/7/21,12242.30539,12404.32627,,,2012/1/31,11151.98406,11528.31927,12333.53137,12332.32511,,2012/1/31,-1054.73279,-776.11628,333.53137,332.32511
